GeneMark.hmm PROKARYOTIC (Version 3.26)
Date: Mon Aug 10 18:11:22 2015
Sequence file name: seq.fna
Model file name: /home/genemark/parameters/prokaryotic/Natronomonas_pharaonis_DSM_2160/GeneMark_hmm_combined.mod
RBS: true
Model information: Natronomonas_pharaonis_DSM_2160

FASTA definition line: gi|76800655|ref|NC_007426.1| Natronomonas pharaonis DSM 2160 complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        -           6        1106         1101        1
    2        +        1310        1861          552        1
    3        +        1933        3858         1926        1
    4        +        3961        4830          870        1
    5        -        4864        5238          375        1
    6        -        5289        6305         1017        1
    7        +        6437        7414          978        1
    8        +        7452        8102          651        1
    9        +        8106        8744          639        1
   10        +        8784        9524          741        1
   11        -        9525        9974          450        1
   12        +       10056       10415          360        1
   13        +       10403       10753          351        1
   14        -       10790       11356          567        1
   15        +       11497       12687         1191        1
   16        -       12688       13455          768        1
   17        +       13544       13870          327        1
   18        -       13872       14303          432        1
   19        -       14372       14908          537        1
   20        -       14974       16449         1476        1
   21        -       16562       18856         2295        1
   22        -       18907       19302          396        1
   23        -       19448       19714          267        1
   24        +       19733       20146          414        1
   25        +       20162       20857          696        1
   26        +       20919       21731          813        1
   27        -       21724       22536          813        1
   28        -       22737       23171          435        1
   29        -       23247       23489          243        2
   30        -       23556       25034         1479        1
   31        -       25106       25519          414        1
   32        -       25516       26430          915        1
   33        -       26480       28222         1743        1
   34        -       28298       28753          456        1
   35        +       28984       29949          966        1
   36        +       30086       30784          699        1
   37        +       30771       31496          726        1
   38        -       31534       32904         1371        1
   39        +       33032       33484          453        1
   40        +       33527       33814          288        1
   41        -       33811       34458          648        1
   42        -       34551       35135          585        1
   43        -       35132       35752          621        1
   44        -       35749       35925          177        1
   45        +       36122       39163         3042        1
   46        +       39190       39801          612        1
   47        -       39868       40017          150        2
   48        +       40146       41546         1401        1
   49        +       41621       42901         1281        1
   50        +       42888       43544          657        1
   51        +       43541       44668         1128        1
   52        +       44722       46146         1425        1
   53        +       46208       47011          804        1
   54        +       47225       47452          228        1
   55        +       47449       49014         1566        1
   56        +       49016       50848         1833        1
   57        +       50848       54027         3180        1
   58        +       54020       56704         2685        1
   59        +       56711       57136          426        1
   60        -       57142       58068          927        1
   61        +       58186       58614          429        1
   62        +       58614       59225          612        1
   63        +       59299       60636         1338        1
   64        -       60633       61484          852        1
   65        +       61538       63727         2190        1
   66        +       63862       66135         2274        1
   67        +       66192       66542          351        1
   68        +       66625       67287          663        1
   69        -       67270       68724         1455        1
   70        -       68731       69210          480        1
   71        -       69266       70954         1689        1
   72        -       70951       72837         1887        1
   73        -       72886       73431          546        1
   74        -       73546       74037          492        1
   75        -       74052       74459          408        1
   76        -       74452       75093          642        1
   77        -       75090       75551          462        1
   78        -       75544       76251          708        1
   79        -       76248       78095         1848        1
   80        -       78201       80363         2163        1
   81        +       80504       81214          711        1
   82        +       81268       82902         1635        1
   83        -       82918       83613          696        1
   84        -       83645       84424          780        1
   85        -       84426       85562         1137        1
   86        -       85559       86527          969        1
   87        -       86582       87898         1317        1
   88        -       88031       88702          672        1
   89        -       88807       89910         1104        1
   90        -       89986       90369          384        1
   91        -       90374       91480         1107        1
   92        -       91488       91943          456        1
   93        -       91940       92113          174        1
   94        +       92231       94036         1806        1
   95        -       94020       94910          891        1
