GeneMark.hmm PROKARYOTIC (Version 3.26)
Date: Mon Aug 10 18:09:50 2015
Sequence file name: seq.fna
Model file name: /home/genemark/parameters/prokaryotic/Mycobacterium_tuberculosis_H37Rv/GeneMark_hmm_combined.mod
RBS: true
Model information: Mycobacterium_tuberculosis_H37Rv

FASTA definition line: gi|444893469|emb|AL123456.3| Mycobacterium tuberculosis H37Rv complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        +           1        1524         1524        1
    2        +        2127        3260         1134        1
    3        +        3451        4437          987        1
    4        +        4434        4997          564        1
    5        +        5174        7267         2094        1
    6        +        7302        9818         2517        1
    7        +        9969       10160          192        1
    8        +       10190       10828          639        1
    9        +       11225       11416          192        1
   10        -       11421       11528          108        1
   11        -       11555       11692          138        1
   12        -       11874       12311          438        1
   13        +       12468       13016          549        1
   14        -       13133       13447          315        1
   15        -       13714       13998          285        1
   16        +       14179       14877          699        1
   17        +       14914       15612          699        1
   18        -       15590       17470         1881        1
   19        -       17467       18744         1278        1
   20        -       18759       20234         1476        1
   21        -       20231       21640         1410        1
   22        -       21637       23172         1536        1
   23        -       23270       23737          468        1
   24        -       23861       25444         1584        1
   25        -       25913       26854          942        1
   26        -       27023       27442          420        1
   27        +       27595       28365          771        1
   28        +       28362       29207          846        1
   29        +       29245       29607          363        1
   30        +       29740       31068         1329        1
   31        +       31189       31506          318        1
   32        +       31514       31819          306        1
   33        -       31824       31967          144        1
   34        +       32336       33154          819        1
   35        +       33224       33553          330        1
   36        +       34295       36610         2316        1
   37        +       36607       36870          264        1
   38        +       36867       37262          396        1
   39        +       37259       38947         1689        1
   40        -       39056       39835          780        1
   41        -       39877       41163         1287        1
   42        +       41280       41912          633        1
   43        -       42004       42351          348        1
   44        -       42433       43365          933        1
   45        +       43595       46471         2877        1
   46        -       46581       47207          627        1
   47        -       47366       48100          735        1
   48        -       48233       49027          795        1
   49        -       49043       49939          897        1
   50        -       50021       51124         1104        1
   51        -       51185       51727          543        1
   52        -       51828       52697          870        1
   53        +       52810       53244          435        1
   54        +       53354       55699         2346        1
   55        +       55696       57378         1683        1
   56        +       57335       57973          639        1
   57        +       58192       58482          291        1
   58        +       58586       59080          495        1
   59        +       59122       59376          255        1
   60        +       59409       59867          459        1
   61        +       60426       63020         2595        1
   62        +       63200       63892          693        1
   63        +       63909       64967         1059        1
   64        -       65400       65687          288        1
   65        +       65771       66694          924        1
   66        +       66923       68362         1440        1
   67        +       68418       68579          162        1
   68        +       68620       71559         2940        1
   69        +       71589       71828          240        1
   70        +       71821       72222          402        1
   71        -       72274       74511         2238        1
   72        -       74549       74632           84        1
   73        -       74629       75177          549        1
   74        +       75301       76212          912        1
   75        -       76237       77622         1386        1
   76        -       77619       78896         1278        1
   77        +       79486       80193          708        1
   78        -       80425       80550          126        1
   79        +       80624       81673         1050        1
   80        +       81676       82668          993        1
   81        +       82814       83983         1170        1
   82        +       83996       85168         1173        1
   83        -       85183       85503          321        1
   84        -       85636       86490          855        1
   85        +       86528       87133          606        1
   86        -       87208       87801          594        1
   87        -       87798       88004          207        2
   88        +       88204       89025          822        1
   89        +       89022       89480          459        1
   90        +       89485       89919          435        1
   91        +       89924       90403          480        1
   92        +       90400       92322         1923        1
   93        +       92319       93278          960        1
   94        +       93289       93951          663        1
   95        +       93951       95417         1467        1
   96        +       95417       96892         1476        1
   97        +       97023       97601          579        1
   98        +       97758       98351          594        1
   99        +       98480       99250          771        1
  100        +       99684      100451          768        1
  101        +      100676      102868         2193        1
  102        -      102815      103525          711        1
