GeneMark.hmm PROKARYOTIC (Version 3.26)
Date: Mon Aug 10 18:07:25 2015
Sequence file name: seq.fna
Model file name: /home/genemark/parameters/prokaryotic/Aeropyrum_pernix_K1/GeneMark_hmm_combined.mod
RBS: true
Model information: Aeropyrum_pernix_K1

FASTA definition line: gi|118430835|ref|NC_000854.2| Aeropyrum pernix K1, complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        -         213         878          666        2
    2        -         938        1111          174        1
    3        -        1260        2174          915        2
    4        +        2270        2836          567        2
    5        +        3905        5440         1536        1
    6        -        5774        6058          285        2
    7        -        6213        7820         1608        1
    8        +        8071        8889          819        1
    9        +        8908        9840          933        1
   10        +        9991       11652         1662        1
   11        -       12387       13907         1521        1
   12        -       13925       15346         1422        1
   13        -       15391       15909          519        2
   14        -       16021       16419          399        2
   15        -       16416       16823          408        1
   16        +       16914       18800         1887        1
   17        +       18797       19384          588        1
   18        +       19396       20850         1455        1
   19        +       20910       22379         1470        1
   20        +       22506       23912         1407        1
   21        +       23927       24823          897        1
   22        +       24820       25698          879        1
   23        +       25706       26812         1107        1
   24        +       26997       28115         1119        1
   25        +       28128       29060          933        1
   26        +       29053       29907          855        1
   27        +       29907       30668          762        1
   28        +       30668       31273          606        1
   29        -       31407       31922          516        1
   30        -       32017       32778          762        1
   31        -       33058       33588          531        1
   32        -       33674       34966         1293        1
   33        -       35035       35787          753        1
   34        +       35926       40392         4467        1
   35        +       40405       41106          702        1
   36        +       41221       42510         1290        1
   37        +       42608       44086         1479        1
   38        +       44083       45018          936        1
   39        +       45022       45867          846        1
   40        +       45961       46422          462        1
   41        +       46629       47108          480        2
   42        -       47135       47479          345        1
   43        -       47940       49013         1074        1
   44        +       49294       50331         1038        1
   45        +       50407       52197         1791        1
   46        -       52159       53010          852        1
   47        +       53306       53791          486        1
   48        -       53788       54003          216        1
   49        +       54129       54527          399        1
   50        -       54512       56593         2082        1
   51        -       56575       57759         1185        1
   52        -       57823       58536          714        1
   53        -       58607       59269          663        1
   54        +       59379       59825          447        1
   55        +       59910       60401          492        1
   56        -       60406       60720          315        2
   57        +       60867       61838          972        1
   58        +       62064       62177          114        2
   59        +       62549       63997         1449        1
   60        +       64012       65361         1350        1
   61        -       65371       66471         1101        1
   62        -       66579       67544          966        1
   63        +       67976       68473          498        1
   64        -       68480       69124          645        1
   65        -       69239       71812         2574        1
   66        +       71930       72019           90        1
   67        +       72691       74778         2088        1
   68        -       74775       75242          468        1
   69        -       75287       76066          780        1
   70        +       76180       76416          237        1
   71        +       76470       77261          792        1
   72        -       77364       77780          417        1
   73        -       77777       79417         1641        1
   74        -       79401       80606         1206        1
   75        -       80633       83392         2760        1
   76        -       83399       84628         1230        1
   77        -       84782       84934          153        1
   78        -       85004       86056         1053        1
   79        +       86208       86765          558        1
   80        +       86999       87286          288        1
   81        +       87351       87500          150        1
   82        -       87535       88800         1266        1
   83        +       88998       89957          960        1
   84        +       89990       90673          684        1
   85        +       90844       91260          417        1
   86        +       91264       92262          999        1
   87        +       92399       93850         1452        1
   88        +       93840       94856         1017        1
   89        +       94864       95808          945        1
   90        +       95780       96889         1110        1
   91        +       96896       97999         1104        1
   92        -       98101       98646          546        1
   93        +       98849       99163          315        1
   94        +       99284      100084          801        1
   95        +      100104      101030          927        1
   96        +      101126      102256         1131        1
   97        +      102380      103879         1500        1
   98        +      103961      104827          867        1
   99        +      104888      106090         1203        1
  100        +      106321      106863          543        2
  101        -      107051      107722          672        1
  102        +      107854      108594          741        1
  103        -      108844      109683          840        1
  104        +      109785      110336          552        1
  105        -      110340      110774          435        1
  106        +      110845      111534          690        1
  107        +      111498      112055          558        1
  108        +      112111      113343         1233        1
  109        +      113367      113633          267        1
  110        -      113611      114357          747        1
  111        -      114493      115851         1359        1
  112        -      115928      116458          531        1
  113        -      116472      117632         1161        1
  114        -      117705      118445          741        1
  115        -      118438      119148          711        1
  116        -      119248      120117          870        1
  117        +      120221      121858         1638        1
  118        -      121827      122618          792        1
  119        -      122824      124245         1422        1
  120        -      124412      125008          597        1
  121        +      125249      125635          387        1
  122        -      125632      126015          384        1
  123        -      126080      127291         1212        1
  124        -      127388      128419         1032        1
  125        -      128432      129679         1248        1
  126        +      129984      130643          660        1
  127        -      130640      131800         1161        1
  128        -      131790      132218          429        1
  129        -      132240      133055          816        1
  130        +      133178      133381          204        1
  131        -      133391      134653         1263        1
  132        +      134836      135162          327        1
  133        +      135205      136005          801        1
  134        -      135956      137212         1257        1
  135        +      137399      137965          567        1
  136        +      137967      140066         2100        1
  137        +      140110      142317         2208        1
  138        -      142270      143373         1104        1
  139        -      143635      143898          264        1
  140        +      144240      145007          768        1
  141        -      144991      145392          402        1
  142        +      145466      146704         1239        1
  143        +      146789      147379          591        1
  144        -      147327      148433         1107        1
  145        +      148526      148954          429        1
  146        -      149164      149958          795        1
  147        -      150413      151075          663        1
  148        +      151135      151524          390        1
  149        +      151606      152493          888        1
  150        -      152483      153676         1194        1
  151        -      153667      154503          837        1
  152        +      154581      155789         1209        1
  153        -      155786      156478          693        1
  154        -      156511      157101          591        1
  155        -      157098      157667          570        1
  156        -      157766      158482          717        1
  157        -      158495      159880         1386        1
  158        -      159901      161259         1359        1
  159        -      161265      161528          264        1
  160        -      161632      162558          927        1
  161        +      162664      162765          102        2
  162        +      162894      163766          873        1
  163        +      164048      165082         1035        1
  164        +      165113      165931          819        1
  165        +      165928      166188          261        1
  166        -      166380      167309          930        1
  167        -      167424      168287          864        1
  168        -      168287      169309         1023        1
  169        -      169346      170182          837        1
  170        -      170246      171175          930        1
  171        -      171336      172085          750        1
  172        -      172120      172755          636        1
  173        -      173022      173447          426        1
  174        -      173560      173829          270        1
  175        -      174025      174555          531        1
  176        +      174775      175065          291        1
  177        +      175214      175429          216        1
  178        -      175437      175883          447        1
  179        -      176357      176968          612        1
  180        -      176965      178026         1062        1
  181        -      178125      178979          855        1
  182        +      179131      180279         1149        1
  183        +      180309      181481         1173        1
  184        +      181536      182243          708        1
  185        -      182321      183073          753        1
  186        -      183160      183717          558        1
  187        -      183720      183938          219        1
  188        -      183945      184505          561        1
  189        -      184574      184744          171        1
  190        -      184846      185778          933        1
  191        -      185843      186745          903        1
  192        -      186735      188012         1278        1
  193        +      188090      188755          666        1
  194        -      188799      190091         1293        1
  195        -      190586      191218          633        2
  196        -      193024      193455          432        1
  197        +      193577      195373         1797        1
  198        +      196167      196424          258        1
  199        -      196429      196611          183        1
  200        -      196677      197459          783        1
  201        -      197456      198250          795        1
  202        -      198657      199091          435        1
  203        -      199069      199290          222        1
  204        -      199327      199677          351        1
  205        -      199769      199882          114        1
  206        -      199916      200131          216        1
  207        -      200817      201164          348        1
  208        -      201692      201928          237        2
  209        -      201925      202152          228        1
  210        -      202422      202748          327        2
  211        +      202741      202878          138        1
  212        -      203152      203670          519        1
  213        -      203657      203926          270        1
  214        -      204280      204756          477        2
  215        -      204720      204920          201        1
  216        -      205301      205759          459        2
  217        -      205752      205964          213        1
  218        -      206193      206318          126        1
  219        +      206607      206861          255        1
  220        +      206858      208840         1983        1
  221        -      208843      209004          162        2
  222        +      209072      209251          180        2
  223        -      209347      209469          123        1
  224        +      209991      210578          588        1
  225        +      210667      211257          591        1
  226        -      211409      211954          546        1
  227        -      212077      212211          135        1
  228        -      212234      212566          333        1
  229        -      212733      213011          279        1
  230        -      213008      213313          306        1
  231        +      213569      214009          441        1
  232        -      214107      214817          711        1
  233        -      214835      215152          318        1
  234        -      215139      215558          420        1
  235        -      215617      216021          405        1
  236        -      216356      217615         1260        1
  237        -      217622      218590          969        1
  238        -      218587      219492          906        1
  239        -      219506      220534         1029        1
  240        -      220551      222926         2376        1
  241        +      223385      224818         1434        1
  242        +      224866      226164         1299        1
  243        +      226157      227260         1104        1
  244        +      227383      228213          831        1
  245        +      228321      228815          495        1
  246        +      228879      229709          831        1
  247        -      229719      230375          657        1
  248        -      230611      232005         1395        1
  249        -      232223      232765          543        1
  250        -      232913      233245          333        1
  251        +      233419      233799          381        1
  252        -      233796      235661         1866        1
  253        +      235839      236171          333        1
  254        -      236514      237863         1350        1
  255        -      238201      238698          498        1
  256        -      238786      239790         1005        1
  257        +      239967      240503          537        1
  258        -      240826      243381         2556        1
  259        -      243483      244481          999        1
  260        +      244578      245948         1371        1
  261        -      245945      247045         1101        1
  262        -      247047      249266         2220        1
  263        -      249451      250500         1050        1
  264        -      250616      251092          477        1
  265        -      251106      251585          480        1
  266        -      251631      252287          657        1
  267        -      252316      252960          645        1
