GeneMark.hmm PROKARYOTIC (Version 3.26)
Date: Mon Aug 10 18:03:23 2015
Sequence file name: seq.fna
Model file name: /home/genemark/parameters/prokaryotic/Escherichia_coli_O157_H7_EC4115/GeneMark_hmm_combined.mod
RBS: true
Model information: Escherichia_coli_O157_H7_EC4115

FASTA definition line: gi|47118301|dbj|BA000007.2| Escherichia coli O157:H7 str. Sakai DNA, complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        +          <3          98           96        1
    2        +         190         273           84        1
    3        +         312        2816         2505        1
    4        +        2818        3750          933        1
    5        +        3751        5037         1287        1
    6        +        5251        5547          297        1
    7        -        5700        6476          777        1
    8        -        6546        7976         1431        1
    9        +        8255        9208          954        1
   10        +        9323        9910          588        1
   11        -        9945       10511          567        1
   12        -       10660       11373          714        1
   13        -       11399       11803          405        1
   14        +       12180       14096         1917        1
   15        +       14185       15315         1131        1
   16        -       15419       15571          153        2
   17        +       16157       17323         1167        1
   18        +       17383       18288          906        1
   19        -       18326       18751          426        2
   20        -       18959       19285          327        2
   21        -       19298       21748         2451        1
   22        -       21761       22444          684        2
   23        -       22494       23027          534        2
   24        -       23329       24750         1422        2
   25        -       25220       25405          186        1
   26        +       25818       26759          942        1
   27        +       26802       29618         2817        1
   28        +       29618       30112          495        1
   29        +       30200       30649          450        1
   30        +       30651       31601          951        1
   31        +       31667       32581          915        1
   32        +       32748       33569          822        1
   33        +       34025       35173         1149        1
   34        +       35191       38412         3222        1
   35        +       38673       39068          396        1
   36        -       39187       39777          591        1
   37        -       39783       40568          786        1
   38        -       40677       42230         1554        1
   39        -       42304       43521         1218        1
   40        -       43650       44792         1143        1
   41        -       44823       46163         1341        1
   42        +       46816       47586          771        1
   43        +       47601       48542          942        1
   44        +       48593       49879         1287        1
   45        +       49876       50163          288        1
   46        +       50221       51552         1332        1
   47        +       51660       52190          531        1
   48        +       52183       54045         1863        1
   49        +       54126       54716          591        1
   50        +       54802       55035          234        1
   51        +       55038       55352          315        1
   52        -       55349       56197          849        1
   53        -       56204       56581          378        1
   54        -       56584       57405          822        1
   55        -       57402       58391          990        1
   56        -       58391       59677         1287        1
   57        -       59730       62084         2355        1
   58        +       62339       63154          816        1
   59        +       63449       64201          753        2
   60        -       64619       65278          660        1
   61        -       65290       68196         2907        1
   62        -       68360       70711         2352        1
   63        -       70786       71481          696        1
   64        -       71681       73183         1503        1
   65        -       73194       74894         1701        1
   66        +       75224       76111          888        1
   67        +       76197       76961          765        1
   68        -       77048       77746          699        1
   69        -       77730       79340         1611        1
   70        -       79316       80299          984        1
   71        +       80671       81240          570        2
   72        -       81469       83127         1659        1
   73        -       83455       84060          606        1
   74        -       84071       85471         1401        1
   75        -       85474       86565         1092        1
   76        -       86565       88136         1572        1
   77        +       88973       89917          945        1
   78        +       90259       91959         1701        1
   79        +       91962       92453          492        1
   80        +       92633       93637         1005        1
   81        +       94239       94697          459        1
   82        +       94699       95640          942        1
   83        +       95637       96002          366        1
   84        +       96018       97784         1767        1
   85        +       97771       99258         1488        1
   86        +       99255      100613         1359        1
   87        +      100607      101689         1083        1
   88        +      101692      103008         1317        1
   89        +      103008      104252         1245        1
   90        +      104273      105316         1044        1
   91        +      105370      106845         1476        1
   92        +      106838      107758          921        1
   93        +      107760      108590          831        1
   94        +      108587      109849         1263        1
   95        +      109910      111061         1152        1
   96        +      111162      112079          918        1
   97        +      112310      112822          513        1
   98        +      112884      115589         2706        1
   99        +      115649      116047          399        1
  100        -      116138      116335          198        1
  101        -      116345      117088          744        1
  102        -      117088      117708          621        1
  103        +      117933      118976         1044        1
  104        -      119011      120213         1203        1
  105        -      120203      121588         1386        1
  106        -      121598      122038          441        1
  107        -      122241      123134          894        1
  108        +      123222      123773          552        1
  109        +      123770      124624          855        1
  110        -      124667      126037         1371        1
  111        +      126581      127345          765        1
  112        +      127506      130169         2664        1
  113        +      130184      132076         1893        1
  114        +      132284      133708         1425        1
  115        -      133779      135632         1854        1
  116        +      135987      138584         2598        1
  117        +      138760      139122          363        1
  118        -      139160      139954          795        1
  119        -      139970      140836          867        1
  120        -      140942      141289          348        1
  121        +      141455      143005         1551        1
  122        -      143207      145597         2391        1
  123        +      145803      146339          537        1
  124        -      146380      147042          663        1
  125        +      147151      148077          927        1
  126        +      148074      148844          771        1
  127        +      148949      149389          441        1
  128        +      149453      150682         1230        1
  129        -      150686      151066          381        1
  130        +      151340      152236          897        1
  131        -      152535      153386          852        1
  132        -      153398      154192          795        1
  133        -      154327      155076          750        1
  134        -      155448      156038          591        1
  135        -      156059      156664          606        2
  136        -      156679      157227          549        1
  137        -      157241      159841         2601        1
  138        -      159883      160608          726        1
  139        -      160695      161291          597        1
  140        -      161572      162054          483        1
  141        -      162051      163364         1314        1
  142        -      163508      164434          927        1
  143        -      164471      164926          456        1
  144        -      165104      165808          705        1
  145        -      165823      166353          531        1
  146        +      166427      168856         2430        1
  147        +      168859      169065          207        2
  148        +      169052      171586         2535        1
  149        +      171806      174049         2244        1
  150        +      174100      174897          798        1
  151        +      174897      175787          891        1
  152        +      175784      177766         1983        1
  153        -      177801      179081         1281        1
  154        +      179306      180727         1422        1
  155        +      180809      181153          345        1
  156        -      181200      181823          624        1
  157        -      181861      182661          801        1
  158        -      182654      183352          699        1
  159        +      183436      184953         1518        1
  160        +      185083      186507         1425        1
  161        +      186662      187819         1158        1
  162        -      187908      188294          387        1
  163        -      188609      189433          825        1
  164        -      189464      192136         2673        1
  165        -      192198      192992          795        1
  166        +      193360      194085          726        1
  167        +      194343      195194          852        1
  168        +      195341      196066          726        1
  169        +      196216      196773          558        1
  170        +      196865      198061         1197        1
  171        +      198250      199008          759        1
  172        +      199021      199878          858        1
  173        +      199890      201242         1353        1
  174        +      201272      203704         2433        1
  175        +      203825      204310          486        1
  176        +      204314      205339         1026        1
  177        +      205444      205899          456        1
  178        +      205903      206691          789        1
  179        +      206691      207839         1149        1
  180        +      207836      208432          597        1
  181        +      208469      211951         3483        1
  182        +      211964      212923          960        1
  183        +      213022      215163         2142        1
  184        +      215220      215609          390        1
  185        +      215674      216969         1296        1
  186        -      217022      217282          261        1
  187        -      217269      217469          201        1
  188        +      217635      218093          459        1
  189        +      218177      218587          411        1
  190        +      218601      219311          711        1
  191        -      219511      220335          825        1
  192        -      220388      222106         1719        1
  193        -      222217      222924          708        1
  194        -      222921      223325          405        1
  195        -      223443      224258          816        1
  196        -      224298      224951          654        1
  197        -      224944      225975         1032        1
  198        +      226163      226738          576        1
  199        +      227823      227966          144        2
  200        +      228265      228543          279        2
  201        +      230823      230942          120        1
  202        +      230946      231041           96        2
  203        +      232496      233299          804        1
  204        -      233296      234210          915        1
  205        +      234451      235251          801        1
  206        +      235329      236099          771        1
  207        -      236147      237367         1221        1
  208        -      237577      238332          756        2
  209        +      238366      239088          723        1
  210        -      239085      239552          468        1
  211        +      239608      240348          741        1
  212        +      240916      241686          771        1
  213        -      241871      242167          297        2
  214        -      242164      242613          450        2
  215        -      242616      243212          597        2
  216        -      243533      244012          480        2
  217        -      243978      245387         1410        1
  218        -      245398      248832         3435        1
  219        -      248969      249763          795        1
  220        -      249760      250380          621        1
  221        -      250385      251128          744        1
  222        -      251125      253896         2772        1
  223        -      253905      254666          762        1
  224        -      254671      256002         1332        1
  225        -      256005      256529          525        1
  226        -      256526      257806         1281        1
  227        -      257831      258913         1083        1
  228        -      258877      260727         1851        1
  229        -      260731      261144          414        1
  230        -      261235      262626         1392        1
  231        -      262677      262901          225        1
  232        -      262936      263436          501        1
  233        +      263863      264006          144        2
  234        +      264133      264651          519        1
  235        +      264861      267002         2142        1
  236        +      267078      271292         4215        1
  237        +      271295      271906          612        1
  238        +      272652      273788         1137        2
  239        +      273791      275551         1761        1
  240        +      275535      275705          171        2
  241        +      275753      276016          264        2
  242        +      276197      277369         1173        2
  243        -      277487      278257          771        1
  244        +      278438      278884          447        1
  245        -      278927      281371         2445        1
  246        +      281611      282189          579        1
  247        +      282294      283061          768        1
  248        -      283032      283772          741        1
  249        -      283928      284131          204        1
  250        -      284207      284467          261        1
  251        +      284653      285426          774        1
  252        +      285602      285898          297        1
  253        -      286244      287875         1632        1
  254        +      287928      288713          786        1
  255        +      288784      289839         1056        1
  256        +      289891      290184          294        2
  257        +      290187      290585          399        1
  258        +      290670      291047          378        1
  259        +      291532      292089          558        1
  260        -      292146      293603         1458        1
  261        +      293864      294322          459        1
  262        +      294414      295658         1245        1
  263        +      295716      296117          402        1
  264        -      296156      297211         1056        1
  265        +      297499      298602         1104        1
  266        +      298614      299867         1254        1
  267        -      300072      301046          975        2
  268        -      301422      301811          390        2
  269        -      301939      302652          714        2
  270        +      302753      302953          201        2
  271        +      303072      303365          294        2
  272        +      303398      304006          609        2
  273        +      304021      304320          300        1
  274        +      304317      304628          312        1
  275        +      304628      305422          795        1
  276        +      305422      306015          594        1
  277        -      305987      306430          444        1
  278        -      306451      306861          411        2
  279        +      306891      307445          555        1
  280        -      307503      308276          774        2
  281        +      309100      309843          744        2
  282        -      309885      310238          354        1
  283        +      310380      310532          153        2
  284        +      310806      311987         1182        2
  285        +      311991      312407          417        2
  286        +      312380      312997          618        2
  287        +      313039      313455          417        2
  288        +      313448      314080          633        2
  289        +      314111      314701          591        2
  290        +      314701      315267          567        2
  291        -      315677      315949          273        1
  292        -      315955      316506          552        1
  293        -      316503      317255          753        1
  294        +      317658      317828          171        2
  295        +      318189      318449          261        1
  296        +      318446      319003          558        2
  297        +      319000      319221          222        1
  298        +      319221      319544          324        1
  299        +      319558      321891         2334        1
  300        -      322024      322980          957        2
  301        -      323656      324555          900        1
  302        +      324654      325376          723        1
  303        +      325591      325821          231        1
  304        -      326524      327408          885        1
  305        +      327594      328730         1137        1
  306        +      328872      329999         1128        1
  307        -      330178      331134          957        1
  308        -      331144      333342         2199        1
  309        -      333339      334295          957        1
  310        -      334292      334981          690        1
  311        +      335399      336013          615        1
  312        -      336903      337613          711        1
  313        -      337582      339225         1644        1
  314        -      339215      341740         2526        1
  315        -      341766      342434          669        1
  316        -      342492      343079          588        1
  317        -      343154      343744          591        2
  318        +      344521      344712          192        2
  319        -      344782      344922          141        1
  320        -      344922      345185          264        1
  321        +      345449      345829          381        2
  322        +      345826      346173          348        1
  323        +      346223      347761         1539        1
  324        -      348224      348343          120        2
  325        -      348573      349715         1143        2
  326        -      349950      350870          921        1
  327        +      351030      351953          924        1
  328        -      352241      352597          357        2
  329        +      352628      352756          129        2
  330        -      352790      353365          576        1
  331        +      353931      358184         4254        1
  332        -      358305      359162          858        2
  333        +      359411      360280          870        1
  334        -      360440      361033          594        1
  335        -      361045      361281          237        1
  336        -      361390      362715         1326        1
  337        +      362941      363795          855        1
  338        +      364322      365041          720        1
  339        +      365052      366479         1428        1
  340        +      366472      367167          696        1
  341        -      367662      368078          417        2
  342        -      368260      368448          189        1
  343        -      368426      369520         1095        1
  344        -      369562      370023          462        2
