GeneMark.hmm PROKARYOTIC (Version 3.26)
Date: Mon Aug 10 18:08:10 2015
Sequence file name: seq.fna
Model file name: /home/genemark/parameters/prokaryotic/Halobacterium_salinarum_R1/GeneMark_hmm_combined.mod
RBS: true
Model information: Halobacterium_salinarum_R1

FASTA definition line: gi|167726115|emb|AM774415.1| Halobacterium salinarum R1 complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        +         308        1453         1146        1
    2        +        1450        2115          666        1
    3        +        2118        3254         1137        1
    4        +        3322        5643         2322        1
    5        -        5646        7451         1806        1
    6        -        7454        8641         1188        1
    7        -        8655        9860         1206        1
    8        +        9980       11413         1434        1
    9        -       11478       12734         1257        2
   10        -       13462       13812          351        2
   11        -       13809       14201          393        1
   12        +       14484       14780          297        2
   13        +       14871       15131          261        1
   14        +       15310       15408           99        1
   15        -       15419       15763          345        2
   16        -       16327       16719          393        2
   17        +       16795       17706          912        2
   18        -       17763       17897          135        2
   19        +       18594       18902          309        2
   20        +       18895       19530          636        2
   21        -       19703       20101          399        2
   22        -       20219       20482          264        2
   23        -       20533       21789         1257        2
   24        -       22103       22300          198        1
   25        +       23336       23890          555        2
   26        +       27140       29008         1869        2
   27        -       29187       29321          135        2
   28        -       29913       30197          285        2
   29        -       30356       31144          789        1
   30        -       31241       31570          330        1
   31        +       31841       32089          249        2
   32        +       32104       32358          255        2
   33        -       32558       32893          336        2
   34        -       32896       33225          330        2
   35        -       33185       33589          405        1
   36        -       33613       33918          306        1
   37        -       34654       35934         1281        1
   38        +       36157       36936          780        1
   39        +       37336       37728          393        1
   40        +       37730       38986         1257        1
   41        +       39215       40447         1233        1
   42        -       40626       41918         1293        1
   43        +       42006       42734          729        1
   44        +       44185       44424          240        2
   45        -       45260       45817          558        2
   46        +       46019       46189          171        2
   47        -       46870       48036         1167        1
   48        -       48214       49518         1305        2
   49        +       49605       50237          633        2
   50        -       50367       50906          540        2
   51        -       51579       53036         1458        1
   52        +       53234       53656          423        2
   53        +       53824       54069          246        2
   54        +       54207       55382         1176        2
   55        -       55711       55938          228        2
   56        +       56536       56790          255        2
   57        -       56808       58082         1275        1
   58        -       58214       58648          435        2
   59        +       59842       61197         1356        2
   60        -       61624       62712         1089        2
   61        -       62715       63617          903        1
   62        +       63942       64658          717        2
   63        -       64714       64908          195        2
   64        +       64911       65825          915        1
   65        +       65925       66221          297        2
   66        +       66230       66487          258        1
   67        +       66686       66847          162        2
   68        +       67256       67549          294        1
   69        -       68072       68506          435        1
   70        -       68503       68793          291        1
   71        +       68923       69219          297        1
   72        +       69305       69529          225        1
   73        -       69688       69780           93        2
   74        -       70315       70407           93        2
   75        +       70664       71764         1101        1
   76        +       71836       72291          456        1
   77        +       72332       72763          432        1
   78        +       72928       73719          792        1
   79        -       73723       74559          837        1
   80        +       74684       75757         1074        1
   81        -       75767       77671         1905        1
   82        -       77659       78882         1224        1
   83        -       78938       79675          738        1
   84        -       79698       80612          915        1
   85        -       80677       81342          666        1
   86        -       81402       82343          942        1
   87        +       82467       83474         1008        1
   88        +       83555       83941          387        1
   89        -       83947       84804          858        1
   90        -       84900       85409          510        1
   91        -       85632       85826          195        1
   92        -       85942       86598          657        1
   93        -       86655       87599          945        1
   94        -       87749       88207          459        1
   95        +       88457       88612          156        2
   96        +       88683       89339          657        1
   97        +       89422       90696         1275        1
   98        +       90807       91595          789        1
   99        +       92761       93015          255        2
  100        +       93094       96069         2976        1
  101        +       96062       96787          726        1
  102        +       98036       98404          369        1
  103        +       98469       99146          678        1
  104        +       99251      100033          783        1
  105        +      100104      100364          261        2
  106        -      100522      101346          825        2
  107        +      101461      101649          189        2
  108        -      101665      101940          276        2
  109        -      101940      102323          384        2
  110        +      102339      102479          141        1
  111        -      102494      102616          123        1
  112        -      102652      102777          126        1
  113        +      103145      103636          492        1
  114        +      103704      105632         1929        1
  115        +      105679      106422          744        1
  116        -      106434      106820          387        1
  117        -      106864      107193          330        1
  118        +      107292      108059          768        1
  119        +      108325      109194          870        1
  120        +      109199      109462          264        1
  121        -      109465      110079          615        1
  122        +      110400      111824         1425        1
  123        +      111878      112330          453        1
  124        +      112327      113343         1017        1
  125        -      113322      114680         1359        1
  126        +      115224      115445          222        2
  127        +      115436      115780          345        2
  128        +      116617      116724          108        1
  129        -      116944      117348          405        2
  130        -      117498      117605          108        1
  131        -      118092      118433          342        2
  132        +      118777      119214          438        1
  133        +      119680      119916          237        1
  134        -      119921      120349          429        1
  135        -      120416      120619          204        1
  136        +      120764      123037         2274        1
  137        -      123052      123723          672        1
  138        -      123720      124253          534        1
  139        -      124250      124918          669        1
  140        -      125174      126262         1089        1
  141        -      126341      127738         1398        1
  142        +      127854      128552          699        1
  143        +      128646      129878         1233        1
  144        -      129899      130855          957        1
  145        -      130879      132858         1980        1
  146        +      132977      135439         2463        1
  147        +      135666      136955         1290        1
  148        +      137024      138640         1617        1
  149        -      138656      141271         2616        1
  150        -      141343      142362         1020        1
  151        +      142497      143258          762        1
  152        +      143327      143659          333        1
  153        -      143660      144364          705        1
  154        -      144516      145145          630        1
  155        +      145347      146069          723        1
  156        -      146041      148632         2592        1
  157        +      148928      151330         2403        1
  158        +      151336      152022          687        1
  159        -      152037      152777          741        1
  160        -      152929      153519          591        1
  161        -      153652      154632          981        1
  162        -      154856      155758          903        1
  163        -      155843      156667          825        1
  164        +      156775      157593          819        1
  165        +      157643      158470          828        1
  166        +      158642      159454          813        1
  167        +      159504      160595         1092        1
  168        -      160626      161273          648        1
  169        +      161369      162748         1380        1
  170        +      162818      164257         1440        1
  171        +      164313      165275          963        1
  172        -      165314      166495         1182        1
  173        -      166498      166665          168        2
  174        -      166843      167361          519        1
  175        -      167956      168216          261        1
  176        -      168346      169374         1029        1
  177        +      169527      170048          522        1
  178        +      170097      170309          213        1
  179        -      170548      170916          369        1
  180        -      170909      171586          678        1
  181        -      171586      172089          504        1
  182        -      172086      172808          723        1
  183        -      172805      173668          864        1
  184        -      173699      174637          939        1
  185        -      174634      176778         2145        1
  186        +      176910      177878          969        1
  187        +      177878      178450          573        1
  188        +      178450      179712         1263        1
  189        +      179700      180203          504        1
  190        -      180200      181156          957        1
  191        +      181457      182527         1071        1
  192        -      182519      182881          363        1
  193        +      182973      183524          552        1
  194        +      183531      185405         1875        1
  195        +      185448      186131          684        1
  196        -      186189      186428          240        1
  197        -      186435      186812          378        1
  198        -      186936      187193          258        1
  199        -      187199      187333          135        1
  200        -      187342      187629          288        1
  201        +      187777      187995          219        1
  202        -      188023      188745          723        1
  203        -      188798      190102         1305        1
  204        -      190102      190467          366        1
  205        +      190524      191138          615        1
  206        +      191172      191759          588        1
  207        +      191756      192664          909        1
  208        -      192656      193420          765        1
  209        -      193423      195855         2433        1
  210        -      195937      196686          750        1
  211        -      196726      197565          840        1
  212        -      197621      198331          711        1
  213        -      198433      199404          972        1
  214        +      199586      200185          600        1
  215        +      200178      200729          552        1
  216        -      200786      201136          351        1
  217        +      201248      201781          534        1
  218        +      201883      201999          117        1
  219        +      202043      203158         1116        1
  220        +      203214      204572         1359        1
  221        -      204589      205662         1074        1
  222        +      205784      206215          432        1
  223        +      206215      207108          894        1
  224        +      207129      208217         1089        1
  225        +      208277      209479         1203        1
  226        +      209507      210601         1095        1
  227        +      210629      211096          468        1
  228        +      211152      211757          606        1
  229        +      211796      213421         1626        1
  230        +      213537      214340          804        1
  231        -      214327      214497          171        1
  232        +      214614      215735         1122        1
  233        -      215737      216171          435        1
  234        -      216168      216326          159        1
  235        +      216419      217246          828        1
  236        +      217282      218976         1695        1
  237        +      219199      219588          390        1
  238        +      219590      220744         1155        1
  239        -      220797      221225          429        1
  240        -      221302      221964          663        1
  241        -      222010      222792          783        1
  242        -      222830      223099          270        1
  243        +      223284      223988          705        1
  244        +      224041      224958          918        1
  245        -      224955      225773          819        1
  246        -      225845      226471          627        1
  247        -      226465      227229          765        1
  248        -      227280      227813          534        1
  249        +      227990      230098         2109        1
  250        -      230154      230603          450        1
  251        +      230688      231443          756        1
  252        +      231440      232732         1293        1
  253        +      232729      233559          831        1
  254        +      233584      234381          798        1
  255        -      234378      234683          306        1
  256        +      234786      235949         1164        1
  257        -      235956      236336          381        1
  258        -      236414      237094          681        1
  259        -      237155      238099          945        1
  260        +      238405      239118          714        1
  261        -      239120      240964         1845        1
  262        +      241168      241410          243        1
  263        -      241420      242031          612        1
  264        -      242087      243265         1179        1
  265        -      243305      243814          510        1
  266        -      243847      244023          177        1
  267        -      244061      245800         1740        1
  268        -      245889      247958         2070        1
  269        -      248019      249086         1068        1
  270        -      249112      250398         1287        1
  271        -      250438      252696         2259        1
  272        +      252830      253219          390        1
  273        -      253220      254125          906        1
  274        +      254400      255092          693        1
  275        +      255147      255767          621        1
  276        -      255742      257016         1275        1
  277        +      257151      257414          264        1
  278        +      257487      258188          702        1
  279        -      258193      259053          861        1
  280        -      259046      262618         3573        1
  281        -      262640      262924          285        1
  282        +      263054      264541         1488        1
  283        -      264587      264979          393        1
  284        -      265038      265418          381        1
  285        +      265641      268130         2490        1
  286        +      268291      269559         1269        1
  287        +      269593      269811          219        1
  288        +      269851      270621          771        1
  289        -      270634      272517         1884        1
  290        -      272598      272879          282        1
  291        +      272970      273872          903        1
  292        -      273911      274324          414        1
  293        +      274455      275420          966        1
  294        +      275389      276219          831        1
  295        +      276278      277099          822        1
  296        -      277115      278158         1044        1
  297        +      278248      278592          345        1
  298        +      278638      279153          516        1
  299        +      279175      279657          483        1
  300        -      279662      280390          729        1
  301        +      280526      281686         1161        1
  302        +      281790      282131          342        1
  303        -      282141      282578          438        1
  304        -      282580      282753          174        2
  305        -      282817      284007         1191        1
  306        -      284035      285396         1362        1
  307        -      285457      286413          957        1
  308        +      286491      287291          801        1
  309        +      287318      287677          360        1
  310        +      287692      289158         1467        1
  311        +      289155      289709          555        1
  312        -      289913      290701          789        1
  313        +      290845      291702          858        1
  314        +      291748      292218          471        1
  315        -      292215      292505          291        1
  316        +      292564      293553          990        1
  317        -      293554      294276          723        1
  318        -      294323      295471         1149        1
  319        -      295545      296447          903        1
  320        +      296708      297121          414        1
  321        +      297179      297976          798        1
  322        -      297978      298445          468        1
  323        -      298567      300492         1926        1
  324        -      300810      300962          153        1
  325        +      301084      302589         1506        1
  326        +      302668      303198          531        1
  327        +      303234      304223          990        1
  328        +      304382      305440         1059        1
  329        -      305433      306404          972        1
  330        -      306483      307580         1098        1
  331        -      307586      309382         1797        1
  332        +      309485      310552         1068        1
  333        -      310574      313021         2448        1
  334        -      313070      314686         1617        1
