GeneMark.hmm PROKARYOTIC (Version 3.26)
Date: Mon Aug 10 18:14:31 2015
Sequence file name: seq.fna
Model file name: /home/genemark/parameters/prokaryotic/Synechococcus_PCC_7002/GeneMark_hmm_combined.mod
RBS: true
Model information: Synechococcus_PCC_7002

FASTA definition line: gi|169884305|gb|CP000951.1| Synechococcus sp. PCC 7002, complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        +           1        1350         1350        1
    2        +        1424        2353          930        1
    3        +        2632        2811          180        1
    4        -        2832        3110          279        1
    5        -        3152        3406          255        1
    6        -        3441        4133          693        1
    7        -        4152        4796          645        1
    8        -        4889        5230          342        1
    9        -        5271        5630          360        1
   10        +        5742        6824         1083        1
   11        +        7044        7613          570        1
   12        +        7646        8308          663        2
   13        +        8305        9621         1317        2
   14        +        9729       10484          756        1
   15        +       10504       11418          915        1
   16        -       11402       11782          381        1
   17        -       11850       12152          303        1
   18        +       12398       12628          231        1
   19        +       12655       14193         1539        1
   20        +       14203       14742          540        1
   21        -       14914       15801          888        1
   22        -       15864       20024         4161        1
   23        +       20106       20954          849        1
   24        +       21109       22362         1254        1
   25        +       22367       23170          804        1
   26        -       23167       24519         1353        1
   27        +       24590       24736          147        2
   28        +       24806       25246          441        1
   29        +       25340       26419         1080        1
   30        -       26445       27062          618        1
   31        +       27194       28225         1032        1
   32        +       28318       28854          537        1
   33        -       29424       30743         1320        1
   34        -       30885       31730          846        1
   35        -       31804       33420         1617        1
   36        -       33504       34478          975        1
   37        +       34718       35728         1011        1
   38        +       35772       36683          912        1
   39        +       36701       37603          903        1
   40        +       37587       38036          450        1
   41        -       38116       39978         1863        1
   42        -       40120       45915         5796        1
   43        -       46222       46563          342        1
   44        +       46562       46699          138        1
   45        +       46832       48373         1542        1
   46        -       48397       49074          678        1
   47        +       49554       50762         1209        1
   48        +       50845       51207          363        1
   49        +       51282       51773          492        1
   50        +       51791       56263         4473        1
   51        +       56378       59512         3135        1
   52        -       59525       60178          654        1
   53        -       60296       60643          348        1
   54        -       60707       61204          498        1
   55        -       61290       61793          504        1
   56        -       61952       62608          657        1
   57        -       62605       63024          420        1
   58        -       63031       63270          240        1
   59        -       63367       64266          900        1
   60        -       64484       65443          960        1
   61        -       65470       65679          210        1
   62        +       65759       66229          471        1
   63        -       66337       67056          720        1
   64        +       67152       67652          501        1
   65        +       67696       70698         3003        1
   66        +       70804       72312         1509        1
   67        -       72394       72648          255        1
   68        +       72686       74116         1431        1
   69        +       74161       74340          180        1
   70        -       74343       75515         1173        1
   71        -       75522       76319          798        1
   72        -       76369       76836          468        1
   73        -       76972       77229          258        1
   74        -       77289       78125          837        1
   75        -       78306       79598         1293        1
   76        +       79979       80374          396        1
   77        +       80386       81978         1593        1
   78        +       82129       82413          285        1
   79        -       82410       82526          117        2
   80        +       82526       82723          198        1
   81        -       82844       83233          390        1
   82        -       83336       83683          348        1
   83        -       83787       84227          441        1
   84        -       84224       84586          363        1
   85        -       84600       84794          195        1
   86        -       84870       85547          678        1
   87        -       85586       86875         1290        1
   88        +       86991       87764          774        1
   89        +       87845       88510          666        1
   90        -       88528       89505          978        1
   91        +       89652       90917         1266        1
   92        +       90933       91235          303        1
   93        +       91267       91764          498        1
   94        +       91804       92343          540        1
   95        -       92387       93304          918        1
   96        -       93327       94127          801        1
   97        -       94161       94484          324        1
   98        -       94538       95278          741        1
   99        -       95308       95391           84        1
  100        +       95445       95585          141        2
  101        +       95582       96871         1290        1
  102        -       96991       97545          555        1
  103        +       97770       98096          327        1
  104        +       98194       99582         1389        1
  105        -       99590       99688           99        1
  106        +       99746      100627          882        1
  107        +      100643      101380          738        1
  108        +      101724      103730         2007        1
  109        -      103727      103870          144        1
  110        -      103895      104200          306        1
  111        -      104356      105300          945        1
  112        -      105340      106806         1467        1
  113        +      107156      108124          969        1
  114        -      108257      108601          345        1
  115        -      108852      109724          873        1
  116        +      109795      110373          579        1
  117        +      110430      111740         1311        1
  118        -      111950      112462          513        1
  119        -      112709      113413          705        1
  120        +      113548      114129          582        1
  121        +      114276      116504         2229        1
  122        -      116526      117704         1179        1
  123        +      118054      118548          495        1
  124        -      118649      119449          801        1
  125        +      119567      119926          360        1
  126        -      120060      121814         1755        1
  127        -      121880      123376         1497        1
  128        -      123484      124035          552        1
  129        +      124239      125600         1362        1
  130        +      125696      126877         1182        1
  131        -      126983      127825          843        2
  132        -      128441      129100          660        1
  133        -      129138      129524          387        1
  134        -      129535      129978          444        1
  135        +      130222      130581          360        1
  136        -      130653      131291          639        1
  137        -      131288      131704          417        1
  138        -      131704      131988          285        1
  139        +      132167      133045          879        1
  140        -      133052      134602         1551        1
  141        -      134660      134746           87        1
  142        +      134875      135063          189        1
  143        +      135206      135682          477        1
  144        +      136253      138442         2190        1
  145        -      138439      139188          750        1
  146        -      139328      139741          414        1
  147        -      139947      142412         2466        1
  148        -      142542      142913          372        1
  149        -      142940      143542          603        1
  150        +      143821      145422         1602        1
  151        +      145445      146026          582        1
  152        +      146077      147843         1767        1
  153        +      148056      149723         1668        1
  154        -      149816      152995         3180        1
  155        -      153399      154799         1401        1
  156        -      154890      156719         1830        1
  157        -      156915      158534         1620        1
  158        +      158726      159169          444        1
  159        +      159222      159494          273        1
  160        +      159599      160267          669        1
  161        +      160274      160702          429        1
  162        +      160764      161612          849        1
  163        -      161801      162883         1083        2
  164        -      163051      165204         2154        1
  165        -      165337      166389         1053        1
  166        +      166576      167043          468        1
  167        +      167146      167700          555        1
  168        -      167725      168822         1098        1
  169        -      169007      169627          621        1
  170        -      169701      170243          543        1
  171        +      170514      171947         1434        1
  172        -      172027      172983          957        1
  173        +      173166      173519          354        1
  174        -      173717      175105         1389        1
  175        -      175219      175329          111        1
  176        +      175339      176679         1341        1
  177        -      176689      178056         1368        1
  178        +      178297      179232          936        1
  179        -      179229      179315           87        1
  180        +      179360      181210         1851        1
  181        +      181266      182762         1497        1
  182        +      182822      184105         1284        1
  183        +      184149      184550          402        1
  184        -      184632      185429          798        1
  185        -      185482      186630         1149        1
  186        -      186735      189380         2646        1
  187        -      189484      189744          261        1
  188        +      189954      190148          195        1
  189        -      190266      190802          537        1
  190        +      190898      192481         1584        1
  191        -      192659      193996         1338        1
  192        -      194043      194387          345        1
  193        -      195013      195150          138        1
  194        -      195386      196330          945        1
  195        +      196891      197808          918        1
  196        +      197858      199324         1467        1
  197        +      199382      200866         1485        1
  198        -      200876      202201         1326        1
  199        -      202330      202908          579        1
  200        -      203001      204710         1710        1
  201        +      204923      205969         1047        1
  202        -      206127      206264          138        1
  203        +      206263      206754          492        1
  204        +      206812      208416         1605        1
  205        +      208477      209193          717        1
  206        +      209193      209759          567        1
  207        +      209765      210409          645        1
  208        +      210491      211915         1425        1
  209        +      211915      212346          432        1
  210        +      212334      212675          342        1
  211        +      212679      213500          822        1
  212        +      213526      215802         2277        1
  213        +      215936      216175          240        1
  214        +      216179      217264         1086        1
  215        -      217301      217693          393        1
  216        -      217709      218056          348        1
  217        +      218123      218578          456        1
  218        +      218881      219849          969        1
  219        -      220212      220664          453        1
  220        +      220861      221964         1104        1
  221        +      222176      223498         1323        1
  222        +      223707      226757         3051        1
  223        -      226834      227493          660        1
  224        +      227648      228634          987        1
  225        +      228807      229748          942        1
  226        +      229891      230616          726        1
  227        +      230673      231209          537        1
  228        +      231257      231988          732        1
  229        +      232046      232216          171        2
  230        +      232392      233810         1419        1
  231        +      233957      235273         1317        1
  232        -      235364      236242          879        1
  233        -      236255      236677          423        1
  234        -      236748      237101          354        1
  235        -      237151      239079         1929        1
  236        -      239128      239256          129        2
  237        +      239337      239684          348        1
  238        +      239750      240772         1023        1
  239        +      240876      241121          246        1
  240        +      241484      241603          120        2
  241        +      241737      243554         1818        1
  242        +      243613      244887         1275        1
  243        +      245026      246246         1221        1
  244        -      246234      248105         1872        1
  245        -      248238      249278         1041        1
  246        +      249298      250845         1548        1
  247        +      250883      251806          924        1
  248        +      252228      252827          600        1
  249        -      252932      254644         1713        1
  250        -      254692      255153          462        1
  251        +      255530      258358         2829        1
  252        +      258454      260628         2175        1
  253        -      260726      261685          960        1
  254        +      261684      261815          132        2
  255        -      261859      262227          369        1
  256        +      262478      263353          876        2
  257        -      263501      266002         2502        1
  258        -      266300      266629          330        1
  259        -      266740      267315          576        1
  260        -      267454      268173          720        1
  261        +      268280      269047          768        1
  262        -      269044      269124           81        2
  263        +      269123      270559         1437        1
  264        -      270556      271011          456        1
  265        -      271033      271218          186        1
  266        -      271291      272310         1020        1
  267        -      272425      273759         1335        1
  268        -      273763      274731          969        1
  269        -      275555      276385          831        1
  270        +      276911      277492          582        1
  271        -      277654      278442          789        1
  272        +      278528      278692          165        1
  273        -      278860      280023         1164        1
  274        -      280486      280725          240        1
  275        +      281010      281846          837        1
  276        +      282029      282865          837        1
  277        -      283101      284297         1197        1
  278        +      284712      286823         2112        1
  279        -      287022      287276          255        1
  280        +      287652      289022         1371        1
  281        +      289059      290618         1560        1
  282        +      290714      292222         1509        1
  283        -      292219      293169          951        1
  284        -      293201      293401          201        1
  285        -      293455      293658          204        1
  286        -      293660      294727         1068        1
  287        +      294872      295528          657        1
  288        +      295529      296206          678        1
  289        -      296264      296530          267        1
  290        +      296736      298775         2040        1
  291        -      298818      299396          579        1
  292        -      299661      299936          276        1
  293        -      300041      301348         1308        1
  294        -      301535      303085         1551        1
  295        -      303268      303543          276        1
  296        -      303649      304479          831        1
  297        -      304710      306491         1782        1
  298        -      306552      309254         2703        1
  299        -      309251      310429         1179        1
  300        -      310457      310783          327        1
  301        -      310998      311801          804        1
  302        +      312347      313519         1173        1
  303        +      313609      314862         1254        1
  304        -      314936      315595          660        1
  305        -      315614      315784          171        1
  306        -      315839      316504          666        1
  307        +      316587      317168          582        1
  308        -      317184      318857         1674        1
  309        -      319181      319672          492        1
  310        -      319867      320688          822        1
  311        -      320739      321059          321        1
  312        -      321501      321980          480        1
  313        -      322106      322657          552        1
  314        -      322663      323025          363        1
  315        -      323018      323782          765        1
  316        +      323959      325062         1104        1
  317        +      325093      325707          615        1
  318        +      325764      326270          507        1
  319        -      326325      326711          387        1
  320        +      326934      328067         1134        1
  321        +      328141      329286         1146        1
  322        -      329268      329903          636        1
  323        -      329906      330457          552        1
  324        +      330534      331322          789        1
  325        +      331479      333668         2190        1
  326        +      333714      334541          828        1
  327        -      334654      335289          636        1
  328        +      335621      336013          393        1
  329        -      336122      337591         1470        1
  330        -      337641      338330          690        1
  331        -      338451      339512         1062        1
  332        +      339698      340954         1257        1
  333        -      341043      342608         1566        1
  334        -      342724      342942          219        1
  335        -      342996      344045         1050        1
  336        +      344282      345799         1518        1
  337        +      345800      346183          384        1
  338        +      346248      347663         1416        2
  339        +      347663      348355          693        1
  340        +      348481      349320          840        2
  341        -      349294      350934         1641        1
  342        +      351018      351950          933        1
  343        -      352037      352432          396        1
  344        -      352475      353653         1179        1
  345        -      354083      354211          129        1
  346        -      354212      356644         2433        1
  347        +      356688      357293          606        1
  348        +      357318      357425          108        1
  349        -      357457      359544         2088        1
  350        +      359997      360749          753        1
  351        -      360753      362279         1527        1
  352        -      362299      363165          867        1
  353        +      363498      364523         1026        1
  354        +      364633      365022          390        1
  355        +      365107      365574          468        1
  356        +      365606      366262          657        1
  357        -      366437      366556          120        1
  358        -      366670      368556         1887        1
  359        +      368592      368885          294        2
  360        +      368943      369974         1032        1
  361        -      369953      370351          399        1
  362        -      370531      370653          123        1
  363        -      370669      371994         1326        1
  364        -      372151      373191         1041        1
  365        +      373461      375611         2151        1
  366        +      375611      376189          579        1
  367        +      376186      376665          480        1
  368        +      376744      377931         1188        1
  369        +      378059      381565         3507        1
  370        -      381607      382128          522        1
  371        +      382207      383736         1530        1
  372        -      383743      385467         1725        1
  373        -      385507      386766         1260        1
  374        +      387290      388393         1104        1
  375        -      388619      389716         1098        1
  376        +      390377      392788         2412        1
  377        -      392814      393677          864        1
  378        -      393683      393994          312        1
  379        -      394185      395447         1263        1
  380        -      395464      396219          756        1
  381        -      396353      396553          201        1
  382        -      396543      398039         1497        1
  383        -      398254      399204          951        1
  384        -      399256      401115         1860        1
  385        -      401425      401541          117        1
  386        +      401724      402098          375        1
  387        +      402153      402848          696        1
  388        +      402848      403585          738        1
  389        +      403696      403944          249        1
  390        +      404115      404678          564        1
  391        +      404737      405549          813        1
  392        +      405682      406494          813        1
  393        +      406722      407780         1059        1
  394        +      407944      408288          345        1
  395        +      408303      408698          396        1
  396        +      408922      410088         1167        1
  397        +      410219      410497          279        1
  398        +      410696      411577          882        1
  399        +      411616      412485          870        1
  400        -      412466      413098          633        1
  401        -      413098      413757          660        1
  402        +      413938      414225          288        1
  403        +      414472      414720          249        1
  404        -      414754      416391         1638        1
  405        -      416412      417278          867        1
  406        -      417363      418484         1122        1
  407        -      418494      419663         1170        1
  408        -      419700      420878         1179        1
  409        -      420978      422294         1317        1
  410        -      422514      423464          951        1
  411        -      423471      423860          390        1
  412        -      423844      425112         1269        1
  413        +      425111      425596          486        2
  414        -      425626      426852         1227        1
  415        -      426856      427779          924        2
  416        -      427990      428412          423        1
  417        +      428661      428918          258        1
  418        +      428905      429327          423        1
  419        -      429430      430674         1245        1
  420        -      430718      431107          390        1
